consumption_by_source,residential_total_final_consumption,year,Units,commercial_and_public_services_total_final,iso_alpha_3
oil_products,3546.0,2000, TJ,211.0,MDA
solid_biomass,,2000, TJ,,MDA
Heat,11116.0,2000, TJ,2743.0,MNG
coal,2592.0,2000, TJ,3269.0,MNG
electricity,1666.0,2000, TJ,,MNG
solid_biomass,1303.0,2000, TJ,,MNG
coal,,2000, TJ,,MNE
electricity,,2000, TJ,,MNE
electricity,,2000, TJ,,MNE
oil_products,,2000, TJ,,MNE
solid_biomass,,2000, TJ,,MNE
electricity,14918.0,2000, TJ,6199.0,MAR
electricity,14918.0,2000, TJ,,MAR
electricity,,2000, TJ,6199.0,MAR
electricity,,2000, TJ,,MAR
oil_products,49763.0,2000, TJ,2270.0,MAR
solid_biomass,23296.0,2000, TJ,23877.0,MAR
electricity,1411.0,2000, TJ,514.0,MOZ
natural_gas,,2000, TJ,0.0,MOZ
oil_products,2554.0,2000, TJ,1991.0,MOZ
solid_biomass,248445.0,2000, TJ,,MOZ
coal,,2000, TJ,,MMR
electricity,4665.0,2000, TJ,2203.0,MMR
natural_gas,,2000, TJ,,MMR
oil_products,327.0,2000, TJ,,MMR
solid_biomass,364763.0,2000, TJ,,MMR
electricity,,2000, TJ,,NAM
oil_products,218.0,2000, TJ,166.0,NAM
solid_biomass,7661.0,2000, TJ,,NAM
coal,50.0,2000, TJ,,NPL
electricity,1925.0,2000, TJ,338.0,NPL
electricity,1925.0,2000, TJ,,NPL
electricity,,2000, TJ,338.0,NPL
electricity,,2000, TJ,,NPL
oil_products,10777.0,2000, TJ,2091.0,NPL
solid_biomass,288860.0,2000, TJ,1469.0,NPL
coal,1026.0,2000, TJ,1184.0,NZL
electricity,416.0,2000, TJ,2378.0,NZL
electricity,416.0,2000, TJ,24854.0,NZL
electricity,40357.0,2000, TJ,2378.0,NZL
electricity,40357.0,2000, TJ,24854.0,NZL
natural_gas,6531.0,2000, TJ,5687.0,NZL
oil_products,2052.0,2000, TJ,4991.0,NZL
solid_biomass,6930.0,2000, TJ,135.0,NZL
electricity,1576.0,2000, TJ,1674.0,NIC
oil_products,1318.0,2000, TJ,1708.0,NIC
solid_biomass,38130.0,2000, TJ,554.0,NIC
coal,,2000, TJ,,NER
electricity,450.0,2000, TJ,194.0,NER
oil_products,485.0,2000, TJ,,NER
solid_biomass,50345.0,2000, TJ,,NER
electricity,15951.0,2000, TJ,8445.0,NGA
natural_gas,0.0,2000, TJ,,NGA
